giftCardId,merchantName,giftCardTitle,officialUrl,websiteUrl,officialStatus,officialTitle,officialDescription,officialHeadings,websiteStatus,websiteTitle,websiteDescription,websiteHeadings,errors
cmta1mf5900syq8iyejmu80s9,1art,Gift Cards,https://1art.gr/,https://1art.gr,,,,,,,,,This operation was aborted | This operation was aborted
cmta5nkcq000154iymuc26j35,Access Shop,Gift Card - Access Shop,https://access-shop.gr/en/gift-card/,https://access-shop.gr,200,Gift Card - Access Shop,Not sure what to buy? Are you looking for a gift right away? The gift voucher access is the ideal choice! Fill in only the following information and your loved one will receive in his email the gift voucher that he can redeem for his purchases at acces-shop.gr,Gift Card,200,Access Shop | Γυναικεία Επώνυμα Ρούχα,Access Shop kalamata,,
cmta1f09t000nq8iyx3uehika,Adagio,Adagio Gift Voucher 200 euro,https://www.adagio.gr/el/,https://adagio.gr,200,Checking you are human,,,200,Checking you are human,,,
cmta4y81w0005sciybyesa197,Agigma,Το Τέλειο Last-Minute Δώρο στο Ρέθυμνο – Agigma Gift Card,https://agigma.gr/el/last-minute-doro-rethymno-gift-card/,https://agigma.gr,200,Το ιδανικό Last-minute δώρο στο Ρέθυμνο: Η Agigma Gift Card | Agigma Holistic Clinic & Spa,"Ψάχνεις το τέλειο last-minute δώρο στο Ρέθυμνο; Η Agigma Gift Card προσφέρει χαλάρωση, μασάζ & wellness εμπειρίες υψηλής ποιότητας. Άμεση παράδοση.","Το ιδανικό last-minute δώρο στο Ρέθυμνο: Η Agigma Gift Card | ⭐ Γιατί η Agigma Gift Card είναι πάντα το σωστό δώρο | ???? Τι την κάνει τέλειο last-minute δώρο; | 1. Έρχεται άμεσα στο email | 2. Ο παραλήπτης διαλέγει όποια θεραπεία θέλει | 3. Premium εμπειρία από θεραπευτές που εμπιστεύεται όλο το Ρέθυμνο | 4. Ευελιξία στον χρόνο | 5. Ιδανική για όσους έχουν κούραση, ένταση ή χρειάζονται “μία ανάσα” | ???? Τι μπορεί να ζήσει κάποιος με την Agigma Gift Card; | ❓ Σύντομο FAQ (ιδανικό για Google & AI) | Ποιο είναι το καλύτερο last-minute δώρο στο Ρέθυμνο; | Πώς τη στέλνω; | Πόσο κοστίζει; | Απευθύνεται σε άντρες/γυναίκες/μεγαλύτερους σε ηλικία; | Μπορεί να το χρησιμοποιήσει και ταξιδιώτης; | ???? Τι νιώθουν όσοι λαμβάνουν μια Agigma Gift Card | ???? Δώρο για κάποιον στο Ρέθυμνο — ακόμα κι αν εσύ είσαι χιλιόμετρα μακριά | ???? Ιδανικό δώρο γάμου — πραγματικά χρήσιμο | ???? Για ποιες περιστάσεις είναι ιδανική; | ???? Αγόρασέ τη εδώ | Πλοήγηση άρθρων",200,Agigma Holistic Spa - Comprehensive Therapies For The Body,"Escape to the ultimate relaxation destination in Crete! Agigma Holistic Spa offers massages, energy healing techniques, and holistic therapies.","Revive your energy. | Agigma | Restore body and mind | Massage • Wellness • Recovery • Reconnect | The Perfect Last-Minute Gift in Rethymno: The Agigma Gift Card | Individual Spa Treatments in Crete – Freedom, Flexibility & Flow",
cmta4y8ik0007sciym0lmxv86,Alchemy,alchemy Gift Card,https://alchemy.gr/products/alchemy-gift-card,https://alchemy.gr,200,alchemy Gift Card – Alchemy,Unlock the freedom to choose with a digital alchemy Gift Card. The perfect present for anyone passionate about the sea and performance.,alchemy Gift Card | Featured Articles | Alchemy Air Deeper Blue Review | Alchemy Aurora Carbon Fins Review | A Neck Weight For Deep Freediving | Complete The Set | Reforest the World | Sustainability | Quality | It’s a littleempty here,200,alchemy | Hi-end freediving & spearfishing equipment. – Alchemy,"Meet the carbon fins which disrupted the freediving and spearfishing world. Supreme power and efficiency even in the most extreme conditions. Complete game-changers, preferred by the sport's deepest athletes.",S FOR SPEARFISHING | collections | Our identity is rooted in innovation | Not Your Average Freediving Podcast | UNLOCKING THE SECRETS OF THE DEEP | Blog | Everything Changes Next Friday | The Skill Nobody Notices Until It Saves A Life | Being Unreachable Is A Luxury | The Science Of Trusting Your Buddy | The Species You'll Never Notice Disappearing | The Perfect Weighting Myth | Fueling For Depth | Warm Water Is Not Always Good News | The Mouthfill Mistake Almost Everyone Makes | Some Divers Feel Stronger Fasted | Why Coffee Affects Divers Differently | Why Head Position Matters More Than Most Divers Realize | Why Social Media Can Distort Progress | The Tragedy Of Loving Nature Through A Screen | Why Rope Stretch Matters More Than Most Freedivers Realize | Why Divers Take Bigger Risks Over Time | Why Humans Started Building Artificial Reefs | The Details Behind Every Great Dive,
cmtb77qi60048dkiyu8khlp3s,Alexandris Stores,Alexandris Stores Gift Card,https://alexandrisstores.gr/en/product/valentines-day-gift-card-%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1/,https://alexandrisstores.gr,200,Valentine's day Gift Card - Δωροκάρτα - Αλεξανδρής Καταστήματα,"Κατα την διάρκεια της παραγγελίας σας , εισάγετε στις λεπτομέρειες το email παραλήπτη και το κείμενο που επιθυμείτε – και θα σας σταλθεί η δωροκάρτα με το ποσό και το κείμενο που θέλετε σε λίγα λεπτά.",-10% στην πρώτη σας παραγγελία με τον κωδικό 'First10' | -10% ΣΤΗΝ ΠΡΏΤΗ ΣΑΣ ΠΑΡΑΓΓΕΛΊΑ ΜΕ ΤΟΝ ΚΩΔΙΚΌ 'first10' | Επικοινωνία: | Ο Λογαριασμός Μου | Shoes | Collections | Δημοφιλή Brands | Weeks Special | Valentine’s day Gift Card – Δωροκάρτα | Μάθε πρώτος για τις νέες προσφορές μας | KEEP IN TOUCH,200,"Γυναικεία παπούτσια , αξεσουάρ , τσάντες , ανδρικά | alexandrisstores.gr","Αλεξανδρής Καταστήματα - Γυναικεία παπούτσια , αξεσουάρ , τσάντες , ανδρικά - Βρες trends , άνετα και μοντέρνα παπούτσια & αξεσουάρ στις καλύτερες τιμές της αγοράς . Βρες τσάντες , πορτοφόλια και παπούτσια από τα πιο ποιοτικά brands . Ασφαλείς Τρόποι Πληρωμής.",-10% στην πρώτη σας παραγγελία με τον κωδικό 'First10' | -10% ΣΤΗΝ ΠΡΏΤΗ ΣΑΣ ΠΑΡΑΓΓΕΛΊΑ ΜΕ ΤΟΝ ΚΩΔΙΚΌ 'first10' | Επικοινωνία: | Ο Λογαριασμός Μου | Παπούτσια | Collections | Δημοφιλή Brands | Weeks Special | #your #shoesNEW ARRIVALS! | Νέες παραλαβές. | London μαύρες μπαλαρίνες με χρυσό κούμπωμα – κωδικός 2611 | London καφέ μπαλαρίνες με χρυσό κούμπωμα – κωδικός 2611 | London καφέ παντόφλες με χρυσές λεπτομέρειες – κωδικός TR-1 | London μαύρες παντόφλες με χρυσές λεπτομέρειες – κωδικός TR-1 | London χρυσά mules με πέτρες – κωδικός 1711 | London χρυσά πέδιλα με χρυσό τακούνι – κωδικός 410 | London & London καφέ πέδιλα με λεπτομέρεια διάφανη – κωδικός 900 | London μπεζ σατέν πέδιλα με διακοσμητικές πέτρες – κωδικός 400 | London μαύρα σατέν πέδιλα με διακοσμητικές πέτρες – κωδικός 400 | London μπέζ πέδιλα με διαφάνεια- κωδικός 440 | Ανδρικά δερμάτινα loafers 2026. | Alexandris Shoes δερμάτινα loafers με πάτο ανατομικό – κωδικός 030 – Μπλέ | Alexandris Shoes δερμάτινα loafers με πάτο ανατομικό – κωδικός 030 – Μπεζ | Alexandris Shoes δερμάτινες εσπαντρίγιες με πάτο ανατομικό – κωδικός 035 – Μπεζ,
cmta1lglx00p8q8iyyx9gpvxm,Aleyacreations,Aleyacreations Gift Card,https://www.aleyacreations.gr/product-category/gift-card/,https://aleyacreations.gr,200,Gift card - Aleya Creations,,Gift card | Δωροκάρτα – Gift card,200,Home - Aleya Creations,Το Aleyacreations.gr δημιουργεί χειροποίητα κεριά και διακοσμητικά χώρου από φυσικά και vegan προϊόντα. Ανακαλύψτε μοναδικές δημιουργίες με έμφαση στην ποιότητα και τη φιλικότητα προς το περιβάλλον.,Aleya Creations | candles & ceme deco | Only The Best For Your Home,
cmta1ggkw005uq8iy28do8tfm,Alova,MISS KAY E-GIFT CARD,https://www.alova.gr/shop/beauty-boxes-gift-sets/e-gift-card/miss-kay-e-gift-card/,https://alova.gr,200,MISS KAY E-GIFT CARD - Alova,"MISS KAY E-GIFT CARD Ψάχνετε για την τέλεια ιδέα για δώρο; Με την E-Gift Card της MISS KAY, το αγαπημένο σας πρόσωπο μπορεί να επιλέξει το τέλειο δώρο στο www.alova.gr Όταν πρόκειται να κάνετε μια ρομαντική χειρονομία ή να δωρίσετε κάτι ξεχωριστό για τα Χριστούγεννα ή μια ειδική περίσταση, μια δωροκάρτα είναι πάντα η σωστή επιλογή. Επιπλέον, οι ψηφιακές δωροκάρτες μπορούν να είναι η ιδανική λύση για ένα δώρο της τελευταίας στιγμής.",Καλάθι Αγορών | MISS KAY E-GIFT CARD | Περιγραφή | Σχετικά προϊόντα | MESAUDA E-GIFT CARD,200,"Καλλυντικά, Προϊοντα Μακιγιάζ, Ομορφιάς & Περιποίησης | Alova.gr","Ανακαλύψτε σήμερα μοναδικά κραγιόν, foundation, concealer και όλη την σειρά μακιγιαζ της Mesauda Milano με ένα κλικ στο eshop μας Alova.gr!","Καλάθι Αγορών | MESAUDA REBELEYES Waterproof eyes plastic pencils | MESAUDA CULT MATTE Ματ κραγιόν | MESAUDA CULT CREAMY Lipstick 3,5g | MESAUDA BARE HARMONY 2.0 – 202 DEEP SMOKY Palette of 6 eyeshadows | MESAUDA HYDRAMORPHOSIS TINTED AND PLUMPING LIP BALM | MESAUDA REBELIPS Waterproof plastic lip pencils | MESAUDA MEGA LASH MASCARA Metallizzato False Eyelash Effect Mascara (14ml) | MESAUDA GALACTIC SHADOW – ANDROMEDA | MESAUDA PRO LIGHT Concealer | MESAUDA SUBLIMATTE Μεγάλης διάρκειας, ματ κραγιόν σε υγρή μορφή",
cmta1k4h700jsq8iya7wu9oi9,Alpamayopro,Alpamayopro Gift Card,https://www.alpamayopro.gr/giftcard.html,https://alpamayopro.gr,200,Gift card,"Alpamayo PRO, ο απόλυτος προορισμός για outdoor εξοπλισμό και ρουχισμό. Με 32 χρόνια ιστορία μοναδική γκάμα προϊόντων από τα κορυφαία outdoor brands. Τα πάντα για την πεζοπορία, το τρέξιμο, την αναρρίχηση και κάθε άλλη περιπέτεια θα τα βρεις εδώ!",Top Brands | Gift card | Γιατί Alpamayo | Login and Registration Form | Σύνδεση | Εγγραφή | Ξεχάσατε τον κωδικό σας;,200,Alpamayo | Outdoor Sports Gear,Σε καλωσορίζουμε στο Alpamayo. Ο απόλυτος προορισμός για τους λάτρεις του outdoor με χιλιάδες προϊόντα από τα αγαπημένα σου brands για ότι χρειαστείς. Όλα άμεσα διαθέσιμα και με την κορυφαία εξυπηρέτηση της ομάδας μας.,Top Brands | Αγαπημένα Brands | Συλλογές που ξεχώρισαν | Top Categories | Ποιοι Είμαστε | Pedroc 2: Μια αναπάντεχη έκπληξη | Outdoor οδηγός δώρων για τα Χριστούγεννα | Feels natural. Patagonia | Κορυφαίες κατηγορίες | Αγαπημένα μας Brands | Γιατί Alpamayo | Login and Registration Form | Σύνδεση | Εγγραφή | Ξεχάσατε τον κωδικό σας;,
cmta1hb5r008iq8iyqvjs32oy,Ammashop,GIFT CARD 100€ - ammashop,https://www.ammashop.gr/gift-cards,https://ammashop.gr,200,Loading...,,,200,Loading...,,,
