type,actionId,cardId,merchantName,expectedTitle,value,occasionSlug,evidence
CONNECT_OCCASION,connect-verified-occasion:cmtb77bgd0021dkiyy3u2x8qn:fathers-day,cmtb77bgd0021dkiyy3u2x8qn,Lookshop,Lookshop Gift Card,,fathers-day,Official product title is 'Δωροκάρτα Super Dad'; mapped to the existing Father's Day taxonomy.
CONNECT_OCCASION,connect-verified-occasion:cmtb77p0o0040dkiyr700iran:name-day,cmtb77p0o0040dkiyr700iran,Valsamakis,Valsamakis Gift Card,,name-day,Official URL/title explicitly identify a Name Day gift card; mapped to existing Name Day taxonomy.
CONNECT_OCCASION,connect-verified-occasion:cmtb77qi60048dkiyu8khlp3s:valentines,cmtb77qi60048dkiyu8khlp3s,Alexandris Stores,Alexandris Stores Gift Card,,valentines,Official URL/title explicitly identify Valentine's Day; mapped to existing taxonomy.
CONNECT_OCCASION,connect-verified-occasion:cmtb77uej004rdkiydqqx9ujt:mothers-day,cmtb77uej004rdkiydqqx9ujt,Cherrybox,Cherrybox Gift Card,,mothers-day,Official product title is 'You are My Super Mom Gift Card'; mapped to existing Mother's Day taxonomy.
CREATE_VARIANT,create-verified-variant:cmta4z4qr003xsciyykm8w59d,cmta4z4qr003xsciyykm8w59d,Tailor Made Knitwear,Tailor Made Knitwear Gift Card,"{""cardId"":""cmta4z4qr003xsciyykm8w59d"",""merchantName"":""Tailor Made Knitwear"",""expectedTitle"":""Tailor Made Knitwear Gift Card"",""expectedOfficialUrl"":""https://tailormadeknitwear.com.gr/product/giftcard-tailor-made-knitwear/"",""name"":""Digital"",""variantType"":""DIGITAL"",""currency"":""EUR"",""minValue"":""50"",""maxValue"":""450"",""customValueAllowed"":false,""values"":[""50"",""75"",""100"",""150"",""200"",""250"",""300"",""350"",""400"",""450""],""validityMonths"":12,""deliveries"":[""EMAIL""],""redemptions"":[""ONLINE"",""PHONE""],""evidence"":[""Official page identifies an electronic/e-Gift Card delivered by email."",""Official page lists values €50, €75, €100, €150, €200, €250, €300, €350, €400 and €450."",""Official page states one-year validity and online/telephone redemption.""],""type"":""CREATE_VARIANT"",""actionId"":""create-verified-variant:cmta4z4qr003xsciyykm8w59d""}",,"Official page identifies an electronic/e-Gift Card delivered by email.|Official page lists values €50, €75, €100, €150, €200, €250, €300, €350, €400 and €450.|Official page states one-year validity and online/telephone redemption."
CREATE_VARIANT,create-verified-variant:cmtb6uqep001u3giya6xdb0l8,cmtb6uqep001u3giya6xdb0l8,Globi,Globi Gift Card,"{""cardId"":""cmtb6uqep001u3giya6xdb0l8"",""merchantName"":""Globi"",""expectedTitle"":""Globi Gift Card"",""expectedOfficialUrl"":""https://globi.gr/product/dwrokarta/"",""name"":""Digital"",""variantType"":""DIGITAL"",""currency"":""EUR"",""minValue"":""20"",""maxValue"":null,""customValueAllowed"":true,""values"":[],""validityMonths"":12,""deliveries"":[""EMAIL""],""redemptions"":[""ONLINE""],""evidence"":[""Official page describes a digital gift card sent automatically by email."",""Official page exposes an Other amount field from €20."",""Official page states online checkout-code redemption and 12-month validity.""],""type"":""CREATE_VARIANT"",""actionId"":""create-verified-variant:cmtb6uqep001u3giya6xdb0l8""}",,Official page describes a digital gift card sent automatically by email.|Official page exposes an Other amount field from €20.|Official page states online checkout-code redemption and 12-month validity.
CREATE_VARIANT,create-verified-variant:cmtb6urib00203giyzhdgmnv4,cmtb6urib00203giyzhdgmnv4,HelloKids,HelloKids Gift Card,"{""cardId"":""cmtb6urib00203giyzhdgmnv4"",""merchantName"":""HelloKids"",""expectedTitle"":""HelloKids Gift Card"",""expectedOfficialUrl"":""https://www.hellokids.gr/products/%CE%B7%CE%BB%CE%B5%CE%BA%CF%84%CF%81%CE%BF%CE%BD%CE%B9%CE%BA%CE%AE-%CE%B4%CF%89%CF%81%CE%BF%CE%BA%CE%AC%CF%81%CF%84%CE%B1"",""name"":""Digital"",""variantType"":""DIGITAL"",""currency"":""EUR"",""minValue"":""20"",""maxValue"":""200"",""customValueAllowed"":false,""values"":[],""validityMonths"":null,""deliveries"":[],""redemptions"":[],""evidence"":[""Official product and collection label the offering as an electronic gift card."",""Official collection displays a €20–€200 price range; exact fixed values were not inferred.""],""type"":""CREATE_VARIANT"",""actionId"":""create-verified-variant:cmtb6urib00203giyzhdgmnv4""}",,Official product and collection label the offering as an electronic gift card.|Official collection displays a €20–€200 price range; exact fixed values were not inferred.
CREATE_VARIANT,create-verified-variant:cmtb77ckx0027dkiyltinns4m,cmtb77ckx0027dkiyltinns4m,Mix & Match,Mix & Match Gift Card,"{""cardId"":""cmtb77ckx0027dkiyltinns4m"",""merchantName"":""Mix & Match"",""expectedTitle"":""Mix & Match Gift Card"",""expectedOfficialUrl"":""https://mixandmatch.gr/product/digital-gift-card/"",""name"":""Digital"",""variantType"":""DIGITAL"",""currency"":""EUR"",""minValue"":""50"",""maxValue"":""350"",""customValueAllowed"":false,""values"":[],""validityMonths"":12,""deliveries"":[""EMAIL""],""redemptions"":[""ONLINE"",""PHYSICAL_STORE""],""evidence"":[""Official page calls it a digital gift card sent by email."",""Official page displays €50–€350 without exposing the complete option list."",""Official page states website/shop redemption and one-year validity.""],""type"":""CREATE_VARIANT"",""actionId"":""create-verified-variant:cmtb77ckx0027dkiyltinns4m""}",,Official page calls it a digital gift card sent by email.|Official page displays €50–€350 without exposing the complete option list.|Official page states website/shop redemption and one-year validity.
CREATE_VARIANT,create-verified-variant:cmtb77r83004bdkiycl9k0utt,cmtb77r83004bdkiycl9k0utt,Antithesis Clothing,Antithesis Clothing Gift Card,"{""cardId"":""cmtb77r83004bdkiycl9k0utt"",""merchantName"":""Antithesis Clothing"",""expectedTitle"":""Antithesis Clothing Gift Card"",""expectedOfficialUrl"":""https://antithesisclothing.gr/shop/dorokarta/"",""name"":""Digital"",""variantType"":""DIGITAL"",""currency"":""EUR"",""minValue"":""20"",""maxValue"":""150"",""customValueAllowed"":false,""values"":[""20"",""50"",""70"",""100"",""150""],""validityMonths"":null,""deliveries"":[""EMAIL""],""redemptions"":[],""evidence"":[""Official page states that the recipient receives the redemption code by email."",""Official page lists €20, €50, €70, €100 and €150 options."",""No redemption channel was inferred from the page.""],""type"":""CREATE_VARIANT"",""actionId"":""create-verified-variant:cmtb77r83004bdkiycl9k0utt""}",,"Official page states that the recipient receives the redemption code by email.|Official page lists €20, €50, €70, €100 and €150 options.|No redemption channel was inferred from the page."
CREATE_VARIANT,create-verified-variant:cmtb77yht005ddkiykt4vsu49,cmtb77yht005ddkiykt4vsu49,Times Store,Times Store Gift Card,"{""cardId"":""cmtb77yht005ddkiykt4vsu49"",""merchantName"":""Times Store"",""expectedTitle"":""Times Store Gift Card"",""expectedOfficialUrl"":""https://www.timesstore.gr/timesstore-gift-card"",""name"":""Digital"",""variantType"":""DIGITAL"",""currency"":""EUR"",""minValue"":null,""maxValue"":null,""customValueAllowed"":true,""values"":[],""validityMonths"":null,""deliveries"":[""EMAIL""],""redemptions"":[],""evidence"":[""Official page describes an e-gift card presented to the recipient by email."",""Official page exposes an amount input; limits were not inferred.""],""type"":""CREATE_VARIANT"",""actionId"":""create-verified-variant:cmtb77yht005ddkiykt4vsu49""}",,Official page describes an e-gift card presented to the recipient by email.|Official page exposes an amount input; limits were not inferred.
CREATE_VARIANT,create-verified-variant:cmtb7hxhc000b04iy3qi3vpga,cmtb7hxhc000b04iy3qi3vpga,Christakis,Christakis Gift Card,"{""cardId"":""cmtb7hxhc000b04iy3qi3vpga"",""merchantName"":""Christakis"",""expectedTitle"":""Christakis Gift Card"",""expectedOfficialUrl"":""https://christakisathens.com/product/christakis-gift-card-online-in-store/"",""name"":""Digital"",""variantType"":""DIGITAL"",""currency"":""EUR"",""minValue"":""50"",""maxValue"":""500"",""customValueAllowed"":false,""values"":[""50"",""100"",""200"",""500""],""validityMonths"":null,""deliveries"":[""EMAIL""],""redemptions"":[""ONLINE"",""PHYSICAL_STORE""],""evidence"":[""Official page states delivery of a unique code by email."",""Official page explicitly supports online and physical-store redemption."",""Official page lists €50, €100, €200 and €500.""],""type"":""CREATE_VARIANT"",""actionId"":""create-verified-variant:cmtb7hxhc000b04iy3qi3vpga""}",,"Official page states delivery of a unique code by email.|Official page explicitly supports online and physical-store redemption.|Official page lists €50, €100, €200 and €500."
CREATE_VARIANT,create-verified-variant:cmtb7i474001904iye9qfchj3,cmtb7i474001904iye9qfchj3,Monkees of Athens,Monkees of Athens Gift Card,"{""cardId"":""cmtb7i474001904iye9qfchj3"",""merchantName"":""Monkees of Athens"",""expectedTitle"":""Monkees of Athens Gift Card"",""expectedOfficialUrl"":""https://monkeesofathens.com/products/monkees-of-athens-gift-card"",""name"":""Digital"",""variantType"":""DIGITAL"",""currency"":""USD"",""minValue"":null,""maxValue"":null,""customValueAllowed"":false,""values"":[],""validityMonths"":null,""deliveries"":[""EMAIL""],""redemptions"":[""ONLINE"",""PHYSICAL_STORE""],""evidence"":[""Official page identifies a digital gift card delivered by email."",""Official page explicitly supports online and in-store use."",""Currency is shown as USD; incomplete denomination options were not stored.""],""type"":""CREATE_VARIANT"",""actionId"":""create-verified-variant:cmtb7i474001904iye9qfchj3""}",,Official page identifies a digital gift card delivered by email.|Official page explicitly supports online and in-store use.|Currency is shown as USD; incomplete denomination options were not stored.
UPDATE_OFFICIAL_URL,update-verified-url:cmtb7769p001bdkiyujfcxt1s,cmtb7769p001bdkiyujfcxt1s,Gatos Shoes,Gatos Shoes Gift Card,https://gatos-shoes.gr/product-category/doro-kartes/,,"Same official merchant domain.|Validated category page lists all four program denominations: €30, €50, €75 and €100.|No variant is created because digital versus physical delivery remains insufficiently explicit."
