type,actionId,cardId,merchantId,merchantName,reason,before,after,evidence
ARCHIVE_CARD,archive-verified-duplicate:cmta1fp5c0037q8iy0bte1j9f,cmta1fp5c0037q8iy0bte1j9f,cmta1fozl0036q8iyfva5aozo,Thomann,The amount-bearing homepage row is one denomination of the keeper's official multi-value voucher program.,"{""title"":""Thomann Gift Certificate 50 EUR"",""officialUrl"":""https://www.thomann.de/gr/index.html""}","{""status"":""ARCHIVED"",""verificationStatus"":""REJECTED"",""keeperCardId"":""cmta5nyde002454iyc6vaizw0""}","https://www.thomann.gr/gift_voucher.html|Official program page lists €10, €25 and €50 vouchers."
ARCHIVE_CARD,archive-verified-duplicate:cmta1g5lj004tq8iy2gi1o7hn,cmta1g5lj004tq8iy2gi1o7hn,cmta1g5ei004sq8iyj1nwtg24,Kotsovolos,"B2B is a corporate purchase channel for the same Kotsovolos gift-card program, represented as a Corporate variant.","{""title"":""Kotsovolos Δωροκάρτα – Gift Card!"",""officialUrl"":""https://kotsovolos-b2b.giftcards-store.com/el""}","{""status"":""ARCHIVED"",""verificationStatus"":""REJECTED"",""keeperCardId"":""cmtb785to006cdkiy9ubl9s4x""}",https://www.kotsovolos.gr/pages/e-giftcard|https://kotsovolos-b2b.giftcards-store.com/el|Official B2B page identifies digital Kotsovolos Gift Cards for corporate gifts.
ARCHIVE_CARD,archive-verified-duplicate:cmta1g612004uq8iy6ctyhbtp,cmta1g612004uq8iy6ctyhbtp,cmt8hesrb000fa8iycuggb6wc,Puma Greece,"The archived row is a German terms page, not a separate Greek gift-card product.","{""title"":""Gift Card Terms & Conditions"",""officialUrl"":""https://giftcard.puma.com/de/en/TERMS_AND_CONDITIONS.html""}","{""status"":""ARCHIVED"",""verificationStatus"":""REJECTED"",""keeperCardId"":""cmt8hesz5000ga8iykmbj9m8y""}",https://giftcard.puma.com/de/en/TERMS_AND_CONDITIONS.html|https://eu.puma.com/gr/en/pd/digital-gift-card|Official Greek product page is already represented by the verified keeper.
ARCHIVE_CARD,archive-verified-duplicate:cmta1ldih00owq8iybi4h3dxo,cmta1ldih00owq8iybi4h3dxo,cmta1ldb100ovq8iysbonr92k,Lauraashleyshop,Exact same official URL and zero dependent relations; retain the verified row as the canonical program.,"{""title"":""Gift Card Laura Ashley"",""officialUrl"":""https://www.lauraashleyshop.gr/products/gift-card-laura-ashley""}","{""status"":""ARCHIVED"",""verificationStatus"":""REJECTED"",""keeperCardId"":""cmta421t70002t8iywrh9oyoy""}",https://www.lauraashleyshop.gr/products/gift-card-laura-ashley|Both records point to the identical official product.
ARCHIVE_CARD,archive-verified-duplicate:cmtb6uo3d001i3giyiq64l7pb,cmtb6uo3d001i3giyiq64l7pb,cmta5nnll000i54iywoggd8zt,Floraplant,The corporate-site article links to the same single e-shop gift-card product; retain the purchase record.,"{""title"":""GIFT CARD - Δωροκάρτα - Floraplant & Garden Center"",""officialUrl"":""https://floraplant.gr/gift-card/""}","{""status"":""ARCHIVED"",""verificationStatus"":""REJECTED"",""keeperCardId"":""cmta5nnqb000j54iy5h71qhyd""}",https://floraplant.gr/gift-card/|https://eshop.floraplant.gr/en/giftcard/|The corporate page links to the e-shop and the e-shop category contains one product.
ARCHIVE_CARD,archive-verified-duplicate:cmtb7r23t0004u8iyh8gmkixy,cmtb7r23t0004u8iyh8gmkixy,cmtb77ti7004mdkiyn5wn9fgi,Chania Culture,The category URL contains one result and links to the keeper's exact product; both rows represent one program.,"{""title"":""Chania Culture Gift Card"",""officialUrl"":""https://shop.chania-culture.gr/product-category/psifiaka/dorokarta/""}","{""status"":""ARCHIVED"",""verificationStatus"":""REJECTED"",""keeperCardId"":""cmtb77tnt004ndkiyw1tey12d""}",https://shop.chania-culture.gr/product-category/psifiaka/dorokarta/|https://shop.chania-culture.gr/product/gift-card/|Official category shows exactly one gift-card product.
ARCHIVE_CARD,archive-verified-duplicate:cmtb7r3ne000bu8iyhr8e822r,cmtb7r3ne000bu8iyhr8e822r,cmta1in0q00ddq8iy9ou6k8vv,Kois Optics,Same merchant and single e-Gift Card program; retain the earlier verified card and move it to the exact product URL.,"{""title"":""KOIS Optics Gift Card"",""officialUrl"":""https://www.kois-optics.gr/el/products/giftcard""}","{""status"":""ARCHIVED"",""verificationStatus"":""REJECTED"",""keeperCardId"":""cmta1in6000deq8iyzrf26jcw""}",https://www.kois-optics.gr/el/products/giftcard|Official product identifies one €100 Kois Optics e-Gift Card.
UPDATE_MERCHANT,update-verified-merchant:cmta1g5ei004sq8iyj1nwtg24,,cmta1g5ei004sq8iyj1nwtg24,Kotsovolos,Use the consumer official root for the canonical merchant; retain B2B only on the Corporate variant.,"{""name"":""Kotsovolos"",""websiteUrl"":""https://kotsovolos-b2b.giftcards-store.com""}","{""name"":""Kotsovolos"",""websiteUrl"":""https://www.kotsovolos.gr""}",https://www.kotsovolos.gr/pages/e-giftcard|https://kotsovolos-b2b.giftcards-store.com/el
UPDATE_MERCHANT,update-verified-merchant:cmta1ldb100ovq8iysbonr92k,,cmta1ldb100ovq8iysbonr92k,Lauraashleyshop,Use the brand identity shown by the official store and product.,"{""name"":""Lauraashleyshop"",""websiteUrl"":""https://lauraashleyshop.gr""}","{""name"":""Laura Ashley"",""websiteUrl"":""https://lauraashleyshop.gr""}",https://www.lauraashleyshop.gr/products/gift-card-laura-ashley
UPDATE_CARD,update-verified-card:cmta1in6000deq8iyzrf26jcw,cmta1in6000deq8iyzrf26jcw,cmta1in0q00ddq8iy9ou6k8vv,Kois Optics,Replace the homepage with the independently validated exact official product URL.,"{""title"":""Kois Optics Gift Card"",""officialUrl"":""https://kois-optics.gr/"",""corporateAvailable"":false,""personalizationAvailable"":false,""verificationStatus"":""VERIFIED""}","{""title"":""Kois Optics Gift Card"",""officialUrl"":""https://www.kois-optics.gr/el/products/giftcard"",""corporateAvailable"":false,""personalizationAvailable"":false,""verificationStatus"":""NEEDS_REVIEW""}",https://www.kois-optics.gr/el/products/giftcard
UPDATE_CARD,update-verified-card:cmta421t70002t8iywrh9oyoy,cmta421t70002t8iywrh9oyoy,cmta1ldb100ovq8iysbonr92k,Lauraashleyshop,Canonical program title after exact-URL duplicate consolidation.,"{""title"":""Laura Ashley Δωροκάρτα – Gift Card"",""officialUrl"":""https://www.lauraashleyshop.gr/products/gift-card-laura-ashley"",""corporateAvailable"":false,""personalizationAvailable"":false,""verificationStatus"":""VERIFIED""}","{""title"":""Laura Ashley Gift Card"",""officialUrl"":""https://www.lauraashleyshop.gr/products/gift-card-laura-ashley"",""corporateAvailable"":false,""personalizationAvailable"":false,""verificationStatus"":""VERIFIED""}",https://www.lauraashleyshop.gr/products/gift-card-laura-ashley
UPDATE_CARD,update-verified-card:cmta5nnqb000j54iy5h71qhyd,cmta5nnqb000j54iy5h71qhyd,cmta5nnll000i54iywoggd8zt,Floraplant,Canonicalize the title and use the independently validated direct product page.,"{""title"":""Δωροκάρτες - Floraplant"",""officialUrl"":""https://eshop.floraplant.gr/en/giftcards/"",""corporateAvailable"":false,""personalizationAvailable"":false,""verificationStatus"":""VERIFIED""}","{""title"":""Floraplant Gift Card"",""officialUrl"":""https://eshop.floraplant.gr/en/giftcard/"",""corporateAvailable"":false,""personalizationAvailable"":false,""verificationStatus"":""NEEDS_REVIEW""}",https://eshop.floraplant.gr/en/giftcard/
UPDATE_CARD,update-verified-card:cmta5nyde002454iyc6vaizw0,cmta5nyde002454iyc6vaizw0,cmta1fozl0036q8iyfva5aozo,Thomann,Canonical program title after representing denominations structurally.,"{""title"":""Buy Gift voucher at Thomann"",""officialUrl"":""https://www.thomann.gr/gift_voucher.html"",""corporateAvailable"":false,""personalizationAvailable"":false,""verificationStatus"":""VERIFIED""}","{""title"":""Thomann Gift Card"",""officialUrl"":""https://www.thomann.gr/gift_voucher.html"",""corporateAvailable"":false,""personalizationAvailable"":false,""verificationStatus"":""VERIFIED""}",https://www.thomann.gr/gift_voucher.html
